date,text,type,username,tweet,state,road_closure,modified_text,location
2016-10-08 14:08:01+00:00,new  traffic congestion in columbia on i-10 east before i-75 ,official,fl511_northeast,NEW  Traffic congestion in Columbia on I-10 east before I-75 ,Florida,1,At New  Traffic Congestion At Columbia At Interstate 10 East Before Interstate 75 ,{'Interstate 10 East Before Interstate 75'}
2016-10-08 14:03:45+00:00,new  weather event in nassau on i-95 north beyond us-17 all lanes blocked ,official,fl511_northeast,NEW  Weather event in Nassau on I-95 north beyond US-17 all lanes blocked ,Florida,1,At New  Weather Event At Nassau At Interstate 95 North Beyond Us-17 All Lanes Blocked ,{'Interstate 95 North Beyond Us-17'}
2016-10-08 13:53:03+00:00,amelia island  the thomas j  shave jr  bridge on sr-200 at kingsley creek is closed in both directions due to severe weather ,official,fl511_northeast,AMELIA ISLAND  THE THOMAS J  SHAVE JR  BRIDGE ON SR-200 AT KINGSLEY CREEK IS CLOSED IN BOTH DIRECTIONS DUE TO SEVERE WEATHER ,Florida,1,At Amelia Island  The Thomas J  Shave Jr  Bridge On Sr-200 At Kingsley Creek Is Closed In Both Directions Due To Severe Weather ,"{'Kingsley Creek', 'Amelia Island'}"
2016-10-08 13:48:03+00:00,new  disabled vehicle in duval on i-95 north ramp to exit 366 pecan pk ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-95 north ramp to Exit 366 Pecan Pk ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 95 North Ramp To Exit 366 Pecan Pk ,{'Interstate 95 North Ramp To Exit 366'}
2016-10-08 13:03:01+00:00,update  disabled truck in duval on i-295 w north before san jose right shoulder blocked ,official,fl511_northeast,UPDATE  Disabled truck in Duval on I-295 W north before San Jose right shoulder blocked ,Florida,1,At Update  Disabled Truck At Duval At Interstate 295 West North Before San Jose Right Shoulder Blocked ,"{'Interstate 295 West North', 'San Jose'}"
2016-10-08 12:58:03+00:00,new  disabled vehicle in duval on i-295 w north before normandy blvd ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 W north before Normandy Blvd ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 West North Before Normandy Blvd ,"{'Normandy Blvd', 'Interstate 295 West North'}"
2016-10-08 12:58:02+00:00,update  disabled truck in duval on i-295 w north before san jose ,official,fl511_northeast,UPDATE  Disabled truck in Duval on I-295 W north before San Jose ,Florida,1,At Update  Disabled Truck At Duval At Interstate 295 West North Before San Jose ,"{'Interstate 295 West North', 'San Jose'}"
2016-10-08 12:48:03+00:00,new  disabled truck in duval on i-10 east at lenox ave right shoulder blocked ,official,fl511_northeast,NEW  Disabled truck in Duval on I-10 east at Lenox Ave right shoulder blocked ,Florida,1,At New  Disabled Truck At Duval At Interstate 10 East At Lenox Ave Right Shoulder Blocked ,"{'Lenox Ave Right Shoulder', 'Interstate 10 East'}"
2016-10-08 12:38:03+00:00,new  unconfirmed disabled truck in duval on i-295 w north before san jose ,official,fl511_northeast,NEW  Unconfirmed disabled truck in Duval on I-295 W north before San Jose ,Florida,1,At New  Unconfirmed Disabled Truck At Duval At Interstate 295 West North Before San Jose ,"{'Interstate 295 West North', 'San Jose'}"
2016-10-08 12:24:24+00:00,all bridges in nassau county are closed due to severe weather  please use caution ,official,fl511_northeast,ALL BRIDGES IN NASSAU COUNTY ARE CLOSED DUE TO SEVERE WEATHER  PLEASE USE CAUTION ,Florida,1,At All Bridges In Nassau County Are Closed Due To Severe Weather  Please Use Caution ,{'Nassau County'}
