date,text,type,username,tweet,road_closure,modified_text,location
2016-11-29 23:09:28+00:00,"CLEARED  Disabled vehicle in Duval on I-295 W south before I-10, right shoulder blocked ",official,fl511_northeast,"CLEARED  Disabled vehicle in Duval on I-295 W south before I-10, right shoulder blocked ",1,"At Cleared  Disabled Vehicle At Duval At Interstate 295 West South Before Interstate 10, Right Shoulder Blocked ",
2016-11-29 23:09:22+00:00,UPDATE  Traffic congestion in Duval on I-95 south from Exit 347 Emerson to ramp to Exit 344 Butler ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 south from Exit 347 Emerson to ramp to Exit 344 Butler ,1,At Update  Traffic Congestion At Duval At Interstate 95 South From Exit 347 Emerson To Ramp To Exit 344 Butler ,"{'Exit 344 Butler', 'Exit 347 Emerson'}"
2016-11-29 23:09:21+00:00,UPDATE  Traffic congestion in Duval on I-95 north from Exit 346 University to ramp to Exit 351 I-10 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 north from Exit 346 University to ramp to Exit 351 I-10 ,1,At Update  Traffic Congestion At Duval At Interstate 95 North From Exit 346 University To Ramp To Exit 351 Interstate 10 ,"{'Exit 351 Interstate 10', 'Exit 346 University'}"
2016-11-29 23:05:32+00:00,"NEW  Disabled vehicle in Duval on SR-202   Butler Blvd east beyond I-295 E, right shoulder blocked ",official,fl511_northeast,"NEW  Disabled vehicle in Duval on SR-202   Butler Blvd east beyond I-295 E, right shoulder blocked ",1,"At New  Disabled Vehicle At Duval At Sr-202   Butler Boulevard East Beyond Interstate 295 E, Right Shoulder Blocked ",
2016-11-29 23:05:08+00:00,UPDATE  Traffic congestion in Duval on I-95 south ramp to Exit 351 I-10 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 south ramp to Exit 351 I-10 ,1,At Update  Traffic Congestion At Duval At Interstate 95 South Ramp To Exit 351 Interstate 10 ,{'Exit 351 Interstate 10'}
2016-11-29 23:05:07+00:00,CLEARED  Traffic congestion in Duval on I-95 south at Exit 337 I-295 W ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on I-95 south at Exit 337 I-295 W ,1,At Cleared  Traffic Congestion At Duval At Interstate 95 South At Exit 337 Interstate 295 West ,"{'Exit 337 Interstate', 'Interstate 95'}"
2016-11-29 23:04:47+00:00,UPDATE  Traffic congestion in Duval on I-295 W north from Exit 61 I-95 to at Exit 3 St Aug Rd ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-295 W north from Exit 61 I-95 to at Exit 3 St Aug Rd ,1,At Update  Traffic Congestion At Duval At Interstate 295 West North From Exit 61 Interstate 95 To At Exit 3 St Aug Rd ,{'Exit 3 St Aug Rd'}
2016-11-29 23:04:42+00:00,UPDATE  Traffic congestion in Duval on I-95 south from Exit 346 University to ramp to Exit 344 Butler ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 south from Exit 346 University to ramp to Exit 344 Butler ,1,At Update  Traffic Congestion At Duval At Interstate 95 South From Exit 346 University To Ramp To Exit 344 Butler ,"{'Ramp', 'Exit 346 University'}"
2016-11-29 23:04:25+00:00,UPDATE  Traffic congestion in Duval on I-295 E south from Exit 53 Butler to at Exit 56 Baymeadows ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-295 E south from Exit 53 Butler to at Exit 56 Baymeadows ,1,At Update  Traffic Congestion At Duval At Interstate 295 East South From Exit 53 Butler To At Exit 56 Baymeadows ,"{'East South', 'Exit 56'}"
2016-11-29 22:59:35+00:00,"NEW  Unconfirmed disabled vehicle in Duval on I-295 E north at Exit 55 Gate Pkwy, right shoulder blocked ",official,fl511_northeast,"NEW  Unconfirmed disabled vehicle in Duval on I-295 E north at Exit 55 Gate Pkwy, right shoulder blocked ",1,"At New  Unconfirmed Disabled Vehicle At Duval At Interstate 295 East North At Exit 55 Gate Pkwy, Right Shoulder Blocked ","{'East North', 'Exit 55 Gate Pkwy'}"
2016-11-29 22:59:35+00:00,"NEW  Disabled vehicle in Duval on I-295 W south before I-10, right shoulder blocked ",official,fl511_northeast,"NEW  Disabled vehicle in Duval on I-295 W south before I-10, right shoulder blocked ",1,"At New  Disabled Vehicle At Duval At Interstate 295 West South Before Interstate 10, Right Shoulder Blocked ",
2016-11-29 22:55:05+00:00,NEW  Traffic congestion in Duval on I-95 south from Exit 344 Butler to at Exit 341 Baymeadows ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-95 south from Exit 344 Butler to at Exit 341 Baymeadows ,1,At New  Traffic Congestion At Duval At Interstate 95 South From Exit 344 Butler To At Exit 341 Baymeadows ,"{'Exit 341 Baymeadows', 'Interstate 95', 'Exit 344 Butler'}"
2016-11-29 22:55:03+00:00,UPDATE  Traffic congestion in Duval on I-295 W south from beyond Blanding Blvd to ramp to Exit 10 US-17 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-295 W south from beyond Blanding Blvd to ramp to Exit 10 US-17 ,1,At Update  Traffic Congestion At Duval At Interstate 295 West South From Beyond Blanding Boulevard To Ramp To Exit 10 Us-17 ,"{'Exit 10 Us-17', 'Beyond Blanding Boulevard'}"
2016-11-29 22:49:39+00:00,NEW  Traffic congestion in Duval on I-295 E north from Exit 53 Butler to at Exit 51 Beach Blvd ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-295 E north from Exit 53 Butler to at Exit 51 Beach Blvd ,1,At New  Traffic Congestion At Duval At Interstate 295 East North From Exit 53 Butler To At Exit 51 Beach Boulevard ,"{'East North', 'Interstate 295'}"
